Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-08-08,27.55,28.55,27.43,27.84,27.84,1148800,GLBE
2022-08-09,27.55,27.82,26.31,27.02,27.02,850000,GLBE
2022-08-10,28.67,29.25,28.0,28.95,28.95,1271000,GLBE
2022-08-11,29.4,29.65,26.79,26.85,26.85,1566100,GLBE
2022-08-12,27.17,27.24,25.58,27.09,27.09,1160400,GLBE
2022-08-15,27.0,27.6,26.25,27.34,27.34,1206600,GLBE
2022-08-16,32.83,35.4,31.96,34.0,34.0,5747600,GLBE
2022-08-17,34.19,37.09,33.67,36.68,36.68,3596600,GLBE
2022-08-18,34.7,35.99,33.51,35.91,35.91,4503800,GLBE
2022-08-19,35.3,35.3,33.11,34.3,34.3,3096400,GLBE
2022-08-22,33.05,34.57,32.82,34.22,34.22,2735300,GLBE
2022-08-23,34.06,36.11,33.85,34.24,34.24,2337800,GLBE
2022-08-24,34.25,36.34,33.81,35.24,35.24,1945400,GLBE
2022-08-25,35.76,37.485,35.11,37.44,37.44,1726100,GLBE
2022-08-26,37.43,37.646,33.85,34.05,34.05,1970300,GLBE
2022-08-29,33.23,34.75,33.01,33.02,33.02,1137100,GLBE
2022-08-30,33.63,34.29,32.4,32.73,32.73,1322600,GLBE
2022-08-31,33.2,33.342,31.56,31.59,31.59,1378800,GLBE
2022-09-01,31.105,31.111,29.37,30.5,30.5,1998100,GLBE
2022-09-02,30.92,31.21,29.55,30.03,30.03,734100,GLBE
2022-09-06,29.97,29.98,28.92,29.19,29.19,762400,GLBE
2022-09-07,29.27,31.13,28.9,30.71,30.71,1120500,GLBE
2022-09-08,30.12,31.1,29.57,31.0,31.0,703900,GLBE
2022-09-09,31.52,34.13,31.385,33.58,33.58,2966000,GLBE
2022-09-12,33.8,35.77,33.51,35.6,35.6,1742100,GLBE
2022-09-13,33.53,34.11,32.89,33.85,33.85,1436300,GLBE
2022-09-14,34.01,34.51,33.42,34.47,34.47,1078000,GLBE
2022-09-15,34.19,35.51,33.999,34.75,34.75,883400,GLBE
2022-09-16,33.7,33.728,32.1,33.27,33.27,1670600,GLBE
2022-09-19,32.82,33.25,31.89,33.02,33.02,867700,GLBE
2022-09-20,32.74,33.12,31.91,32.24,32.24,926300,GLBE
2022-09-21,32.24,32.32,30.4,30.54,30.54,1032000,GLBE
2022-09-22,30.43,30.73,28.97,29.27,29.27,960700,GLBE
2022-09-23,28.48,28.79,26.75,27.08,27.08,1791900,GLBE
2022-09-26,26.77,28.38,26.21,26.25,26.25,1073000,GLBE
2022-09-27,27.06,27.72,26.06,26.5,26.5,803300,GLBE
2022-09-28,26.61,28.46,26.425,28.28,28.28,1039600,GLBE
2022-09-29,27.51,27.76,26.44,27.14,27.14,1109700,GLBE
2022-09-30,26.98,28.315,26.68,26.76,26.76,797200,GLBE
2022-10-03,26.78,28.36,26.37,27.82,27.82,1609300,GLBE
2022-10-04,29.04,29.82,28.36,29.45,29.45,1511900,GLBE
2022-10-05,28.14,29.495,28.13,29.18,29.18,1655700,GLBE
2022-10-06,29.0,29.75,27.56,27.68,27.68,873900,GLBE
2022-10-07,26.72,27.03,25.03,25.39,25.39,1002400,GLBE
2022-10-10,25.24,25.56,24.34,25.22,25.22,1001400,GLBE
2022-10-11,24.78,25.14,23.29,24.39,24.39,1860900,GLBE
2022-10-12,24.25,24.66,23.6,24.47,24.47,1525300,GLBE
2022-10-13,23.52,24.35,22.58,23.88,23.88,1494500,GLBE
2022-10-14,24.33,25.03,22.87,22.96,22.96,1019100,GLBE
2022-10-17,23.68,24.6,23.68,24.0,24.0,924800,GLBE
2022-10-18,25.1,25.89,24.72,25.63,25.63,1881300,GLBE
2022-10-19,25.16,25.45,24.19,24.55,24.55,1198100,GLBE
2022-10-20,24.26,25.18,23.74,23.81,23.81,1072800,GLBE
2022-10-21,23.73,23.73,22.51,23.62,23.62,834600,GLBE
2022-10-24,23.74,23.74,21.81,23.0,23.0,828300,GLBE
2022-10-25,23.27,24.45,23.16,24.21,24.21,1642700,GLBE
2022-10-26,23.78,26.0,23.62,24.42,24.42,1046800,GLBE
2022-10-27,24.73,26.8,24.28,26.4,26.4,1553800,GLBE
2022-10-28,26.37,26.37,24.51,25.99,25.99,870300,GLBE
2022-10-31,25.95,26.41,25.2,25.29,25.29,473900,GLBE
2022-11-01,26.34,26.71,24.795,24.85,24.85,915200,GLBE
2022-11-02,24.71,24.785,21.85,22.07,22.07,1619100,GLBE
2022-11-03,21.71,23.25,21.5,22.58,22.58,1120900,GLBE
2022-11-04,23.25,23.3,20.918,22.35,22.35,1894600,GLBE
