Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-11-10,19.85,20.2,18.99,19.15,18.703398,15453000,XP
2022-11-11,19.33,19.76,18.92,19.23,18.781532,4395400,XP
2022-11-14,18.93,19.36,18.335,19.11,18.664331,5356800,XP
2022-11-15,19.59,19.99,19.02,19.49,19.03547,4191400,XP
2022-11-16,19.06,19.14,18.12,18.28,17.853687,8892300,XP
2022-11-17,17.38,17.77,16.43,17.61,17.199312,9156700,XP
2022-11-18,18.05,18.09,17.29,17.38,16.974676,3458900,XP
2022-11-21,17.27,17.39,16.985,17.27,16.867243,2912300,XP
2022-11-22,17.19,17.2,16.31,16.56,16.1738,3944800,XP
2022-11-23,16.52,16.62,16.05,16.45,16.066366,4955000,XP
2022-11-25,16.52,16.57,16.34,16.5,16.115198,3022200,XP
2022-11-28,16.37,16.615,15.95,15.99,15.617093,5435100,XP
2022-11-29,16.08,16.745,16.08,16.49,16.105433,2969400,XP
2022-11-30,16.47,17.55,16.47,17.51,17.101645,5079200,XP
2022-12-01,17.5,17.85,17.37,17.51,17.101645,3673200,XP
2022-12-02,17.37,18.56,17.36,18.37,17.94159,4527300,XP
2022-12-05,18.14,18.32,17.37,17.44,17.033278,4206000,XP
2022-12-06,17.55,17.655,16.9,16.94,16.544939,3807500,XP
2022-12-07,16.87,16.9,16.29,16.58,16.193333,4170300,XP
2022-12-08,16.58,16.7,15.73,15.9,15.529191,4941000,XP
2022-12-09,15.71,16.235,15.32,15.9,15.529191,4453700,XP
2022-12-12,15.4,15.72,15.12,15.6,15.236189,3661100,XP
2022-12-13,15.98,16.249,14.97,15.13,14.777149,5903600,XP
2022-12-14,14.39,15.02,14.265,14.7,14.357177,12257400,XP
2022-12-15,14.5,14.715,14.07,14.19,13.859071,4525600,XP
2022-12-16,14.1,14.272,13.905,13.99,13.663735,4863700,XP
2022-12-19,13.99,14.33,13.767,14.19,13.859071,5166700,XP
2022-12-20,14.53,15.37,14.5,15.08,14.728315,4485100,XP
2022-12-21,15.08,15.4,14.87,15.39,15.031086,2869900,XP
2022-12-22,15.27,15.45,14.595,14.97,14.620881,2177000,XP
2022-12-23,15.39,15.635,15.22,15.52,15.158054,2525500,XP
2022-12-27,14.87,15.145,14.49,14.55,14.210675,2999800,XP
2022-12-28,14.74,14.98,14.505,14.9,14.552513,3796000,XP
2022-12-29,15.12,15.3,14.74,15.25,14.894351,2433200,XP
2022-12-30,15.08,15.4,15.03,15.34,14.982252,1275300,XP
2023-01-03,14.5,14.83,13.805,13.82,13.4977,5741700,XP
2023-01-04,13.92,14.34,13.83,14.23,13.898138,2760600,XP
2023-01-05,14.07,14.19,13.76,13.97,13.644202,2772500,XP
2023-01-06,14.24,14.83,14.24,14.77,14.425546,3143700,XP
2023-01-09,14.71,15.4,14.57,15.07,14.718548,3037000,XP
2023-01-10,15.51,15.63,15.145,15.56,15.197122,4075500,XP
2023-01-11,15.52,16.12,15.48,16.04,15.665928,6301500,XP
2023-01-12,16.12,17.02,15.89,16.86,16.466805,6120300,XP
2023-01-13,16.67,17.03,16.59,16.65,16.2617,3277200,XP
2023-01-17,15.78,16.25,15.691,16.18,15.802662,3287300,XP
2023-01-18,16.41,16.88,16.29,16.3,15.919863,3555400,XP
2023-01-19,16.24,16.74,16.225,16.66,16.271467,4544100,XP
2023-01-20,16.51,17.165,16.49,17.03,16.63284,3024500,XP
2023-01-23,17.345,17.84,17.05,17.63,17.218845,4374500,XP
2023-01-24,17.59,17.83,17.39,17.75,17.336048,2670700,XP
2023-01-25,17.56,17.695,17.26,17.56,17.150478,2687500,XP
2023-01-26,17.7,18.01,17.47,17.85,17.433716,2306500,XP
2023-01-27,17.27,18.13,17.21,18.11,17.687653,3553600,XP
2023-01-30,17.88,18.345,17.82,17.97,17.550917,3925400,XP
2023-01-31,17.99,18.3,17.685,17.82,17.404415,4842400,XP
2023-02-01,17.79,17.94,17.205,17.58,17.170012,2978200,XP
2023-02-02,17.98,18.24,17.67,17.8,17.38488,2329800,XP
2023-02-03,17.23,17.79,17.188,17.45,17.043045,5814600,XP
2023-02-06,17.0,17.52,16.895,17.04,16.642607,2496700,XP
2023-02-07,17.02,17.05,16.305,16.55,16.164032,4397400,XP
2023-02-08,16.43,16.74,16.345,16.53,16.1445,4704100,XP
2023-02-09,16.57,16.59,15.55,15.57,15.206887,3671600,XP
2023-02-10,15.57,15.75,15.28,15.66,15.294788,5220700,XP
2023-02-13,15.81,16.3,15.74,16.07,15.695227,3587000,XP
2023-02-14,16.0,16.09,15.82,15.98,15.607326,3394200,XP
2023-02-15,15.91,16.36,15.84,16.2,15.822196,3508700,XP
2023-02-16,15.85,16.12,15.265,15.89,15.519425,7487000,XP
2023-02-17,13.5,13.56,12.4,12.91,12.608922,32508000,XP
2023-02-21,12.96,14.06,12.96,13.31,12.999595,8336900,XP
2023-02-22,13.28,13.455,12.785,13.17,12.862859,7730200,XP
2023-02-23,13.35,13.475,13.08,13.24,12.931226,5184000,XP
2023-02-24,13.01,13.09,12.72,12.95,12.647989,4316500,XP
2023-02-27,12.95,12.96,12.34,12.36,12.071749,8407600,XP
2023-02-28,12.35,12.505,12.105,12.42,12.13035,6477100,XP
2023-03-01,12.35,12.43,11.7,11.94,11.661544,8545200,XP
2023-03-02,11.64,11.84,11.48,11.51,11.241572,7290800,XP
2023-03-03,11.52,11.83,11.46,11.49,11.222038,5350900,XP
2023-03-06,11.51,12.17,11.47,11.92,11.642011,6126700,XP
2023-03-07,11.87,11.99,11.62,11.94,11.661544,4968100,XP
2023-03-08,12.36,12.98,12.24,12.91,12.608922,12145900,XP
2023-03-09,13.0,13.14,12.33,12.35,12.061983,6358500,XP
2023-03-10,12.0,12.01,11.3,11.32,11.056003,7809000,XP
2023-03-13,11.0,11.295,10.7,10.94,10.684865,7204300,XP
2023-03-14,11.34,11.46,10.74,10.92,10.665332,8848100,XP
2023-03-15,10.56,10.965,10.3,10.96,10.704399,6382500,XP
2023-03-16,10.88,11.79,10.8,11.63,11.358774,10844300,XP
2023-03-17,11.67,12.01,11.24,11.92,11.642011,8982200,XP
2023-03-20,11.98,11.98,11.321,11.47,11.202505,5412700,XP
2023-03-21,11.62,11.88,11.56,11.78,11.505275,5170600,XP
2023-03-22,11.86,11.92,11.36,11.38,11.114604,5385900,XP
2023-03-23,11.54,11.57,10.51,10.65,10.4016285,4974300,XP
2023-03-24,10.57,11.155,10.525,10.92,10.665332,3090000,XP
2023-03-27,11.22,11.48,11.0,11.22,10.958336,5479600,XP
2023-03-28,11.26,12.0,11.26,11.92,11.642011,7351200,XP
2023-03-29,11.94,12.07,11.66,11.89,11.61271,4037500,XP
2023-03-30,12.38,12.58,11.95,12.04,11.759212,4691900,XP
2023-03-31,11.97,12.25,11.635,11.87,11.593177,7586600,XP
2023-04-03,11.75,11.78,11.12,11.16,10.8997345,4526100,XP
2023-04-04,11.25,11.32,10.85,10.91,10.655564,3588000,XP
2023-04-05,10.79,11.07,10.72,11.0,10.743466,6978500,XP
2023-04-06,11.01,11.07,10.77,10.83,10.577431,3159700,XP
2023-04-10,10.79,11.01,10.72,10.94,10.684865,3409000,XP
2023-04-11,11.62,12.389,11.39,12.3,12.013148,17689900,XP
2023-04-12,12.55,13.355,12.47,12.92,12.61869,18534200,XP
2023-04-13,13.12,14.185,13.08,13.89,13.566068,11683600,XP
2023-04-14,13.75,14.27,13.62,13.87,13.546534,6094900,XP
2023-04-17,13.84,13.93,13.59,13.73,13.409799,2524000,XP
2023-04-18,13.65,14.06,13.58,14.05,13.722337,3940800,XP
2023-04-19,13.74,13.75,13.11,13.39,13.077728,7913600,XP
2023-04-20,13.28,13.68,13.26,13.55,13.233997,2652200,XP
2023-04-21,13.51,13.53,13.275,13.45,13.136329,1068900,XP
2023-04-24,13.65,13.835,13.41,13.73,13.409799,2534700,XP
2023-04-25,13.59,13.665,13.24,13.51,13.19493,3740000,XP
2023-04-26,13.16,13.46,12.78,13.31,12.999595,6003300,XP
2023-04-27,13.46,14.28,13.45,14.04,13.712569,5701300,XP
2023-04-28,13.95,14.51,13.86,14.29,13.956739,3741500,XP
2023-05-01,14.33,14.4,13.845,14.15,13.8200035,1689100,XP
2023-05-02,14.04,14.15,13.225,13.31,12.999595,3847200,XP
2023-05-03,13.38,13.715,13.35,13.42,13.107029,2565400,XP
2023-05-04,13.59,14.06,13.285,13.87,13.546534,4879800,XP
2023-05-05,14.22,14.945,14.015,14.91,14.56228,8064500,XP
2023-05-08,14.764,15.08,14.68,14.87,14.523212,4564300,XP
2023-05-09,14.81,15.48,14.71,15.13,14.777149,5516700,XP
2023-05-10,15.32,15.76,15.215,15.68,15.314322,7333000,XP
2023-05-11,15.7,15.7,15.415,15.53,15.16782,4405600,XP
2023-05-12,15.38,15.52,15.21,15.38,15.021319,3507200,XP
2023-05-15,15.45,16.055,15.38,15.75,15.38269,8515100,XP
2023-05-16,16.7,17.22,15.62,15.96,15.587792,9637800,XP
2023-05-17,16.06,16.81,15.48,16.73,16.339834,12316300,XP
2023-05-18,16.4,16.51,15.98,16.43,16.046831,6046000,XP
2023-05-19,16.43,17.34,16.38,17.27,16.867243,8670000,XP
2023-05-22,17.28,17.96,17.25,17.69,17.277447,8453300,XP
2023-05-23,17.78,18.49,17.49,17.51,17.101645,9309700,XP
2023-05-24,17.78,18.015,17.56,17.71,17.29698,6514400,XP
2023-05-25,18.25,18.597,18.09,18.41,17.980656,5331600,XP
2023-05-26,18.53,19.15,18.2,18.91,18.468994,5371600,XP
2023-05-30,18.93,18.93,17.88,18.03,17.609518,4855800,XP
2023-05-31,17.87,18.1,17.57,17.65,17.238379,4965800,XP
2023-06-01,17.88,18.07,17.715,18.04,17.619286,9243800,XP
2023-06-02,18.43,19.29,18.43,19.02,18.57643,3740100,XP
2023-06-05,18.93,18.99,18.445,18.88,18.439693,2893900,XP
2023-06-06,19.05,20.055,19.045,19.34,18.888968,11140200,XP
2023-06-07,19.48,19.99,19.185,19.97,19.504274,11807500,XP
2023-06-08,19.95,20.7,19.81,20.52,20.041449,3405100,XP
2023-06-09,20.56,21.2,20.425,20.55,20.070747,9307400,XP
2023-06-12,20.65,21.325,20.53,21.19,20.695824,4626100,XP
2023-06-13,21.33,21.39,20.37,20.42,19.943779,4892500,XP
2023-06-14,20.5,21.22,20.475,21.14,20.646988,4689400,XP
2023-06-15,21.14,21.875,21.13,21.86,21.350197,4236300,XP
2023-06-16,21.57,22.57,21.52,22.13,21.6139,4860700,XP
2023-06-20,23.04,23.79,22.54,23.62,23.069153,7722100,XP
2023-06-21,23.62,24.739,23.28,24.52,23.948162,6150400,XP
2023-06-22,24.64,24.643,23.62,23.64,23.088684,9893500,XP
2023-06-23,23.26,23.93,23.211,23.45,22.903116,25333800,XP
2023-06-26,23.17,23.61,22.88,23.03,22.492912,14075800,XP
2023-06-27,22.89,22.89,21.68,22.45,21.926437,9233300,XP
2023-06-28,22.42,23.0,22.345,22.62,22.092474,4368800,XP
2023-06-29,22.98,23.4,22.79,23.03,22.492912,3586400,XP
2023-06-30,23.36,23.99,23.33,23.46,22.912882,3941800,XP
2023-07-03,23.59,24.035,23.37,23.73,23.176586,2887900,XP
2023-07-05,23.5,23.8,23.2,23.57,23.020317,3181500,XP
2023-07-06,23.16,23.33,22.63,22.74,22.209675,3868400,XP
2023-07-07,23.16,23.88,23.16,23.65,23.098452,5196000,XP
2023-07-10,23.18,23.35,22.66,22.75,22.21944,4815900,XP
2023-07-11,22.52,23.265,22.02,23.15,22.610113,4228600,XP
2023-07-12,23.71,24.09,23.27,23.39,22.844515,2951900,XP
2023-07-13,23.67,23.97,23.11,23.27,22.727314,4378200,XP
2023-07-14,23.16,23.295,22.5,22.86,22.326876,4796000,XP
2023-07-17,22.93,23.47,22.73,23.45,22.903116,2137200,XP
2023-07-18,23.53,24.4,23.345,23.83,23.274254,9871300,XP
2023-07-19,23.51,24.03,23.45,23.82,23.264486,4272600,XP
2023-07-20,24.07,25.37,23.946,25.19,24.602537,10379200,XP
2023-07-21,25.65,26.445,25.35,26.29,25.676886,5773700,XP
2023-07-24,26.41,27.215,26.115,26.98,26.350792,6021000,XP
2023-07-25,27.33,27.67,26.5,26.72,26.096855,3938400,XP
2023-07-26,26.82,27.41,26.73,27.28,26.643797,2669500,XP
2023-07-27,27.25,27.28,26.29,26.4,25.784319,3206500,XP
2023-07-28,26.93,27.0,26.0,26.4,25.784319,4462500,XP
2023-07-31,27.14,27.34,26.62,27.01,26.380093,3122800,XP
2023-08-01,26.51,27.0,25.9,26.83,26.20429,2927400,XP
2023-08-02,26.38,26.615,25.68,26.43,25.81362,3304300,XP
2023-08-03,26.79,27.36,25.99,26.5,25.881987,6670400,XP
2023-08-04,26.56,26.83,25.91,26.355,25.740368,3598700,XP
2023-08-07,26.49,26.57,25.935,26.17,25.559683,3355400,XP
2023-08-08,25.69,26.257,25.15,26.25,25.637817,3171600,XP
2023-08-09,26.2,26.24,25.72,25.94,25.335047,3092900,XP
2023-08-10,26.17,26.85,25.55,25.67,25.071342,4117500,XP
2023-08-11,25.5,25.71,25.17,25.32,24.729506,3853000,XP
2023-08-14,24.9,25.475,24.57,25.4,24.80764,4071300,XP
2023-08-15,25.34,26.0,23.971,24.73,24.153265,6669800,XP
2023-08-16,24.75,25.6,24.65,24.77,24.192333,4618900,XP
2023-08-17,25.01,25.01,23.575,23.63,23.078918,4926200,XP
2023-08-18,24.1,25.06,23.875,24.88,24.299767,3658500,XP
2023-08-21,25.12,25.495,24.69,25.41,24.817406,3484600,XP
2023-08-22,25.92,26.31,25.66,26.22,25.608515,3294700,XP
2023-08-23,26.44,27.71,26.38,27.46,26.819597,4631800,XP
2023-08-24,27.46,27.51,26.06,26.25,25.637817,4803300,XP
2023-08-25,26.12,26.12,25.3,25.72,25.120176,4336900,XP
2023-08-28,25.73,26.04,25.56,25.88,25.276445,3585500,XP
2023-08-29,25.69,26.58,25.56,26.5,25.881987,5053000,XP
2023-08-30,26.39,26.58,25.9,26.14,25.530382,3271600,XP
2023-08-31,26.09,26.09,25.055,25.34,24.749039,3670700,XP
2023-09-01,25.55,26.66,25.54,26.35,25.735485,9526000,XP
2023-09-05,26.15,26.22,25.24,25.46,24.86624,3976700,XP
2023-09-06,25.48,25.97,24.791,25.26,24.670904,5458800,XP
2023-09-07,25.08,25.34,24.69,25.08,24.495102,2896500,XP
2023-09-08,25.05,25.37,24.27,24.87,24.29,9949900,XP
2023-09-11,24.63,24.99,24.03,24.93,24.93,6251400,XP
2023-09-12,24.76,25.545,24.63,25.07,25.07,2517200,XP
2023-09-13,25.44,26.28,25.375,25.86,25.86,4781200,XP
2023-09-14,25.75,25.85,25.21,25.66,25.66,5182700,XP
2023-09-15,25.73,26.969,25.63,26.36,26.36,34686300,XP
2023-09-18,26.18,26.67,25.77,26.45,26.45,4097200,XP
2023-09-19,26.38,26.44,25.375,25.39,25.39,3432500,XP
2023-09-20,25.54,25.79,25.14,25.17,25.17,3576400,XP
2023-09-21,23.75,24.1,23.4,23.57,23.57,5626700,XP
2023-09-22,23.7,23.86,23.315,23.38,23.38,2919100,XP
2023-09-25,23.23,23.41,22.96,23.23,23.23,3821000,XP
2023-09-26,22.9,23.26,22.52,22.72,22.72,4864200,XP
2023-09-27,22.85,22.86,21.69,22.09,22.09,8214900,XP
2023-09-28,22.01,23.035,22.01,22.98,22.98,4298200,XP
2023-09-29,23.36,23.38,22.935,23.05,23.05,2722000,XP
2023-10-02,22.82,23.27,22.68,22.9,22.9,3667500,XP
2023-10-03,22.71,22.755,21.295,21.39,21.39,12230900,XP
2023-10-04,21.59,22.15,21.29,22.03,22.03,4930200,XP
2023-10-05,22.02,22.32,21.63,22.26,22.26,3520400,XP
2023-10-06,21.67,22.04,20.9,21.96,21.96,5266900,XP
2023-10-09,21.7,22.075,21.355,21.96,21.96,2942700,XP
2023-10-10,22.23,22.605,21.935,22.31,22.31,3752700,XP
2023-10-11,22.47,22.59,21.6,21.93,21.93,3591900,XP
2023-10-12,21.97,22.08,21.245,21.39,21.39,2523900,XP
2023-10-13,21.53,21.57,20.92,21.41,21.41,3962200,XP
2023-10-16,21.63,21.765,21.16,21.56,21.56,4113500,XP
2023-10-17,21.23,21.695,20.95,21.38,21.38,4089500,XP
2023-10-18,21.17,21.17,20.35,20.74,20.74,4982400,XP
2023-10-19,20.79,21.23,20.615,20.88,20.88,4762700,XP
2023-10-20,20.81,21.31,20.575,21.14,21.14,3799700,XP
2023-10-23,21.01,21.605,20.76,21.43,21.43,3029500,XP
2023-10-24,21.65,21.85,20.801,20.87,20.87,3152300,XP
2023-10-25,20.07,20.1,19.42,20.04,20.04,7881100,XP
2023-10-26,20.07,20.7,20.055,20.49,20.49,3314000,XP
2023-10-27,20.74,20.87,20.135,20.29,20.29,2334300,XP
2023-10-30,20.62,20.65,19.515,19.56,19.56,5674200,XP
2023-10-31,19.64,20.098,19.54,20.0,20.0,2824400,XP
