Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-03-23,29.0,31.6,27.84,28.48,28.48,56108700,DBX
2018-03-26,30.45,30.66,27.75,30.45,30.45,16985700,DBX
2018-03-27,30.41,30.68,29.0,29.9,29.9,6911000,DBX
2018-03-28,29.26,31.19,28.61,30.98,30.98,5113300,DBX
2018-03-29,31.98,34.367,30.79,31.25,31.25,15800200,DBX
2018-04-02,31.19,31.388,29.31,30.01,30.01,5907700,DBX
2018-04-03,30.51,31.6,29.45,31.59,31.59,4305300,DBX
2018-04-04,30.32,31.465,30.2,30.85,30.85,2951200,DBX
2018-04-05,31.2,31.76,30.3,30.535,30.535,2734400,DBX
2018-04-06,30.37,31.0,30.0,30.24,30.24,1626700,DBX
2018-04-09,30.64,31.0,30.13,30.14,30.14,1128800,DBX
2018-04-10,30.44,31.74,30.25,31.23,31.23,2470300,DBX
2018-04-11,31.3,32.49,30.87,32.32,32.32,2391500,DBX
2018-04-12,33.11,34.829,32.92,33.27,33.27,5592300,DBX
2018-04-13,31.27,32.24,29.73,30.0,30.0,8525200,DBX
2018-04-16,30.2,30.4,28.0,29.02,29.02,5727900,DBX
2018-04-17,29.9,30.0,28.61,29.83,29.83,3438400,DBX
2018-04-18,30.01,31.17,29.61,30.56,30.56,2968200,DBX
2018-04-19,30.65,30.88,29.401,29.9,29.9,1575900,DBX
2018-04-20,29.7,29.9,28.67,28.92,28.92,1742500,DBX
2018-04-23,29.18,29.65,28.93,29.11,29.11,1468100,DBX
2018-04-24,29.23,29.8,28.29,28.94,28.94,1495200,DBX
2018-04-25,28.94,29.04,28.19,28.64,28.64,1258300,DBX
2018-04-26,28.87,29.504,28.53,29.33,29.33,1935700,DBX
2018-04-27,29.59,30.15,29.25,29.61,29.61,1263200,DBX
2018-04-30,29.8,30.33,29.62,30.11,30.11,1242300,DBX
2018-05-01,30.3,31.34,29.8,30.9,30.9,1735200,DBX
2018-05-02,30.97,31.5,30.5,31.01,31.01,1576100,DBX
2018-05-03,30.75,31.01,29.74,30.19,30.19,1127700,DBX
2018-05-04,30.13,30.4,29.05,29.13,29.13,1793100,DBX
2018-05-07,29.49,29.879,29.33,29.41,29.41,1807900,DBX
2018-05-08,29.57,30.3,29.5,30.23,30.23,1518900,DBX
2018-05-09,30.6,31.5,30.14,31.4,31.4,3258800,DBX
2018-05-10,32.3,32.3,31.41,32.0,32.0,6650900,DBX
2018-05-11,31.95,32.38,30.59,31.28,31.28,7338600,DBX
2018-05-14,31.62,31.75,29.7,29.96,29.96,4929300,DBX
2018-05-15,29.94,30.11,29.5,29.55,29.55,2766300,DBX
2018-05-16,29.78,30.95,29.62,30.74,30.74,2859500,DBX
2018-05-17,30.95,31.32,30.35,30.55,30.55,1817600,DBX
2018-05-18,30.6,30.75,30.16,30.2,30.2,1232600,DBX
2018-05-21,30.45,30.6,29.95,30.09,30.09,1444200,DBX
2018-05-22,30.05,30.46,30.01,30.09,30.09,883300,DBX
2018-05-23,30.0,30.13,29.55,29.74,29.74,1461700,DBX
2018-05-24,29.8,30.5,29.57,30.2,30.2,1238200,DBX
2018-05-25,30.1,30.383,29.8,29.97,29.97,958300,DBX
2018-05-29,29.94,30.1,29.41,29.78,29.78,966500,DBX
2018-05-30,29.9,30.57,29.78,30.47,30.47,1496600,DBX
2018-05-31,30.27,30.6,29.81,29.99,29.99,1369200,DBX
2018-06-01,30.0,30.23,29.42,29.65,29.65,2306100,DBX
2018-06-04,29.99,30.3,29.51,29.98,29.98,1935100,DBX
2018-06-05,29.81,30.97,29.81,30.89,30.89,2716100,DBX
2018-06-06,31.1,31.89,30.37,31.23,31.23,3475300,DBX
2018-06-07,31.29,31.3,29.81,30.27,30.27,2489700,DBX
2018-06-08,30.11,30.55,29.88,29.96,29.96,1770800,DBX
2018-06-11,30.12,30.405,29.9,30.1,30.1,1286400,DBX
2018-06-12,30.22,31.0,29.92,30.83,30.83,2650500,DBX
2018-06-13,30.81,31.9,30.46,31.67,31.67,3523000,DBX
2018-06-14,32.48,38.09,32.205,36.12,36.12,23701100,DBX
2018-06-15,36.12,40.085,35.35,39.6,39.6,19674900,DBX
2018-06-18,39.0,43.5,38.12,42.0,42.0,16268900,DBX
2018-06-19,41.35,42.89,38.5,39.7,39.7,12730700,DBX
2018-06-20,40.7,40.74,36.53,37.3,37.3,9481900,DBX
2018-06-21,36.91,38.49,35.36,35.69,35.69,7154000,DBX
2018-06-22,36.37,37.0,33.6,33.72,33.72,9475500,DBX
2018-06-25,33.23,34.59,32.153,32.52,32.52,8311900,DBX
2018-06-26,33.3,34.09,32.56,32.77,32.77,7061800,DBX
2018-06-27,33.04,33.59,31.19,31.22,31.22,5208600,DBX
2018-06-28,31.1,33.43,30.65,33.4,33.4,5733300,DBX
2018-06-29,33.56,34.0,31.74,32.42,32.42,6491000,DBX
2018-07-02,32.25,33.73,31.8,32.8,32.8,4212000,DBX
2018-07-03,33.02,33.23,31.89,32.0,32.0,1865000,DBX
2018-07-05,32.1,32.25,31.1,31.46,31.46,3420900,DBX
2018-07-06,31.54,32.08,31.27,31.36,31.36,3881000,DBX
2018-07-09,31.55,32.08,30.75,31.78,31.78,4204300,DBX
2018-07-10,31.98,32.9,31.05,31.28,31.28,4758400,DBX
2018-07-11,31.07,31.65,30.45,30.94,30.94,3297100,DBX
2018-07-12,31.34,32.69,30.95,32.42,32.42,3727900,DBX
2018-07-13,32.5,32.83,31.41,32.17,32.17,2409100,DBX
2018-07-16,32.16,32.43,31.51,32.27,32.27,1976400,DBX
2018-07-17,31.88,32.73,30.5,31.65,31.65,6014400,DBX
2018-07-18,31.35,31.986,31.12,31.24,31.24,1357300,DBX
2018-07-19,31.25,31.72,30.9,31.3,31.3,1958300,DBX
2018-07-20,31.34,31.58,30.87,31.0,31.0,1517100,DBX
