Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2016-08-17,12.207997,12.348319,12.067676,12.067676,11.438142,271519,DELL
2016-08-18,12.348319,12.348319,11.927354,11.997515,11.371639,1767366,DELL
2016-08-19,11.983482,12.207997,11.96945,12.207997,11.571141,4735900,DELL
2016-08-22,12.067676,12.797349,11.955418,12.250094,11.611042,2245909,DELL
2016-08-23,12.278158,12.881542,12.207997,12.628963,11.970148,1483020,DELL
2016-08-24,14.032181,14.032181,12.657027,12.797349,12.129748,2525979,DELL
2016-08-25,12.979767,12.979767,12.657027,12.744027,12.079209,371646,DELL
2016-08-26,12.895574,12.895574,12.766478,12.839445,12.169648,223415,DELL
2016-08-29,12.853478,13.19025,12.853478,12.993799,12.31595,1390019,DELL
2016-08-30,12.979767,13.120089,12.502673,12.671059,12.010045,4805026,DELL
2016-08-31,12.558802,12.657027,12.348319,12.539157,11.885025,9033877,DELL
2016-09-01,13.344604,13.344604,12.207997,12.207997,11.571141,9048130,DELL
2016-09-02,12.323061,12.323061,11.983482,12.062063,11.43282,8127033,DELL
2016-09-06,12.137836,12.979767,11.792645,12.755252,12.089847,56316264,DELL
2016-09-07,12.648608,13.858182,12.634576,13.470894,12.768156,147907159,DELL
2016-09-08,13.597183,14.281954,13.585957,14.11918,13.382623,41159318,DELL
2016-09-09,13.984471,14.07989,13.507377,13.773989,13.055439,26618101,DELL
2016-09-12,13.487732,13.947988,13.389507,13.863795,13.140561,13989272,DELL
2016-09-13,13.507377,13.931149,13.4737,13.611215,12.901157,18045663,DELL
2016-09-14,13.580345,13.644893,13.470894,13.569119,12.861258,17208658,DELL
2016-09-15,13.504571,13.759957,13.476506,13.720666,13.0049,17208302,DELL
2016-09-16,13.647699,13.748731,13.504571,13.602796,12.893178,17786615,DELL
2016-09-19,13.538248,13.720666,13.515797,13.684183,12.970319,16264400,DELL
2016-09-20,13.664538,13.734699,13.518603,13.675763,12.962338,12000986,DELL
2016-09-21,13.577538,13.751537,13.546667,13.588764,12.879878,14885427,DELL
2016-09-22,13.608409,13.681376,13.445636,13.479313,12.776136,17054370,DELL
2016-09-23,13.43441,13.602796,13.420378,13.4737,12.770815,7449305,DELL
2016-09-26,13.392313,13.487732,13.381088,13.440023,12.738895,10128504,DELL
2016-09-27,13.409152,13.465281,13.372668,13.411958,12.712296,9831330,DELL
2016-09-28,13.437216,13.501764,13.338991,13.431604,12.730917,8013722,DELL
2016-09-29,13.361443,13.451249,13.333378,13.350217,12.653774,5912124,DELL
2016-09-30,13.409152,13.498958,13.34741,13.414765,12.714955,6165827,DELL
2016-10-03,13.367055,13.484926,13.35583,13.451249,12.749537,5345926,DELL
2016-10-04,13.423184,13.470894,13.364249,13.431604,12.730917,5993010,DELL
2016-10-05,13.397926,13.712247,13.330572,13.602796,12.893178,6621209,DELL
2016-10-06,13.602796,13.63086,13.462474,13.580345,12.871899,5139258,DELL
2016-10-07,13.580345,13.602796,13.454055,13.490539,12.786777,3515134,DELL
2016-10-10,13.490539,13.583151,13.288475,13.336185,12.640474,5420398,DELL
2016-10-11,13.235153,13.39512,13.179024,13.22954,12.539393,6247425,DELL
2016-10-12,13.179024,13.31654,13.122896,13.221121,12.531414,5851549,DELL
2016-10-13,13.162186,13.31654,13.089218,13.226734,12.536733,4783291,DELL
2016-10-14,13.254798,13.361443,13.187444,13.257604,12.565993,5453179,DELL
2016-10-17,13.263217,13.375475,13.198669,13.299701,12.605895,4813222,DELL
2016-10-18,13.344604,13.414765,13.19025,13.381088,12.683036,5366949,DELL
2016-10-19,13.344604,13.482119,13.336185,13.389507,12.691016,4452266,DELL
2016-10-20,13.319346,13.425991,13.310927,13.386701,12.688355,3849010,DELL
2016-10-21,13.319346,13.364249,13.212701,13.257604,12.565993,3461329,DELL
2016-10-24,13.358636,13.498958,13.322152,13.454055,12.752194,3621319,DELL
2016-10-25,13.39512,13.454055,13.142541,13.187444,12.499493,5398662,DELL
2016-10-26,13.148153,13.288475,13.089218,13.11167,12.427672,5900722,DELL
2016-10-27,13.869408,13.96202,13.482119,13.563506,12.855938,25078425,DELL
2016-10-28,13.501764,13.799247,13.468087,13.715054,12.999579,13622259,DELL
2016-10-31,13.751537,13.889053,13.701021,13.776795,13.058101,12164182,DELL
2016-11-01,13.788021,13.886246,13.541055,13.602796,12.893178,7967400,DELL
2016-11-02,13.538248,13.779602,13.524216,13.751537,13.03416,6557427,DELL
2016-11-03,13.740311,13.872214,13.605603,13.686989,12.972978,4763693,DELL
2016-11-04,13.644893,13.813279,13.611215,13.644893,12.933078,6307644,DELL
2016-11-07,13.720666,14.032181,13.720666,13.897472,13.172481,4566646,DELL
2016-11-08,13.897472,14.015342,13.886246,13.942375,13.215041,3322719,DELL
2016-11-09,13.642086,13.998504,13.59999,13.855375,13.132582,5840503,DELL
2016-11-10,13.852569,14.046213,13.636473,13.824505,13.10332,5971274,DELL
2016-11-11,13.807666,13.877827,13.703828,13.793634,13.07406,3162017,DELL
2016-11-14,13.790827,13.905891,13.574732,13.748731,13.031499,3504801,DELL
2016-11-15,13.759957,14.124793,13.701021,14.054632,13.321444,6991429,DELL
2016-11-16,13.995697,14.265115,13.953601,14.214599,13.473065,4996372,DELL
2016-11-17,14.192148,14.635565,14.172503,14.537339,13.778969,5726123,DELL
2016-11-18,14.531726,14.688887,14.509275,14.590662,13.829509,4201058,DELL
2016-11-21,14.565404,14.792725,14.565404,14.716951,13.949212,3149190,DELL
2016-11-22,14.761854,14.832015,14.467178,14.618726,13.85611,2856648,DELL
2016-11-23,14.537339,14.688887,14.419469,14.464372,13.709807,2990982,DELL
2016-11-25,14.427888,14.711338,14.41105,14.64679,13.882708,905062,DELL
2016-11-28,14.593468,14.705726,14.537339,14.632758,13.86941,2637865,DELL
2016-11-29,14.599081,15.008821,14.599081,14.949885,14.169993,4771176,DELL
2016-11-30,15.028466,15.070562,14.924628,15.031272,14.247135,5082603,DELL
2016-12-01,15.028466,15.05653,14.385792,14.559791,13.800249,8015860,DELL
2016-12-02,14.506469,14.871305,14.318437,14.803951,14.031673,4767969,DELL
2016-12-05,14.823596,14.994788,14.742209,14.89095,14.114132,6389955,DELL
2016-12-06,14.823596,15.014434,14.792725,14.97795,14.196595,5912124,DELL
2016-12-07,14.935853,15.199658,14.837628,15.126691,14.337574,9804606,DELL
2016-12-08,15.090207,15.407335,14.958305,15.132304,14.3428955,8274908,DELL
2016-12-09,15.109852,15.295077,15.036885,15.146336,14.356195,5978401,DELL
2016-12-12,15.154755,15.219303,14.896563,15.126691,14.337574,5849055,DELL
2016-12-13,15.112659,15.295077,15.067756,15.090207,14.302995,4376369,DELL
2016-12-14,15.059336,15.283851,15.022853,15.21369,14.420037,6546737,DELL
2016-12-15,15.295077,15.996686,15.258593,15.929332,15.098344,12845829,DELL
2016-12-16,15.895654,15.951783,15.651495,15.839526,15.013224,21293198,DELL
2016-12-19,15.758139,15.9153,15.668333,15.825494,14.999924,4347863,DELL
2016-12-20,15.881622,16.064041,15.856364,16.010717,15.175487,5251500,DELL
2016-12-21,15.937751,16.179106,15.845139,16.078074,15.2393265,3799124,DELL
2016-12-22,16.010717,16.010717,15.567301,15.67114,14.853623,5606755,DELL
2016-12-23,15.592559,15.772171,15.575721,15.7413,14.920121,2123334,DELL
2016-12-27,15.7413,15.839526,15.690785,15.730075,14.909483,3583905,DELL
2016-12-28,15.727268,15.774978,15.455044,15.530818,14.72062,4705612,DELL
2016-12-29,15.455044,15.598172,15.334367,15.508366,14.699339,2970315,DELL
2016-12-30,15.491528,15.519592,15.365238,15.42698,14.622198,2866981,DELL
2017-01-03,15.45785,15.508366,15.194045,15.314722,14.515797,5804515,DELL
2017-01-04,15.356819,15.553269,15.356819,15.435399,14.630179,7486007,DELL
2017-01-05,15.37927,15.595366,15.37927,15.511173,14.702002,2956062,DELL
2017-01-06,15.586946,15.98546,15.536431,15.937751,15.106325,4745520,DELL
2017-01-09,15.833913,15.895654,15.617817,15.853558,15.026524,5008487,DELL
2017-01-10,15.8283,16.184717,15.808655,15.99388,15.159527,5933148,DELL
2017-01-11,16.061234,16.179106,16.005104,16.159458,15.316465,3199788,DELL
2017-01-12,16.052814,16.209974,15.934945,16.176298,15.332429,3034453,DELL
2017-01-13,16.139814,16.353104,16.137009,16.325039,15.47341,5908561,DELL
2017-01-17,16.302588,16.55236,16.181911,16.26049,15.412228,4932234,DELL
2017-01-18,16.224007,16.445717,16.176298,16.437298,15.579812,2487496,DELL
2017-01-19,16.381168,16.667423,16.302588,16.50465,15.643649,4574485,DELL
2017-01-20,16.499039,16.689877,16.49062,16.630941,15.763353,3960183,DELL
2017-01-23,16.569199,16.625328,16.176298,16.35591,15.502667,3911010,DELL
2017-01-24,16.445717,16.816166,16.383974,16.774069,15.8990135,7179925,DELL
2017-01-25,16.838617,16.931229,16.70952,16.855455,15.976156,5854400,DELL
2017-01-26,16.905972,16.905972,16.698296,16.729166,15.856454,5667330,DELL
2017-01-27,17.251163,17.680548,17.175388,17.554258,16.638504,10710024,DELL
2017-01-30,17.427969,17.557064,17.307293,17.523388,16.609245,5309581,DELL
2017-01-31,17.427969,17.680548,17.37184,17.67774,16.75554,4879854,DELL
2017-02-01,17.630032,17.764742,17.456034,17.708612,16.784805,5165626,DELL
2017-02-02,17.621613,17.989256,17.551453,17.949966,17.013569,3918137,DELL
2017-02-03,17.834902,18.140802,17.834902,18.059418,17.117311,2343542,DELL
2017-02-06,17.96961,18.219383,17.961191,18.137997,17.191788,5024522,DELL
2017-02-07,18.202545,18.281124,18.08748,18.202545,17.252974,3279248,DELL
2017-02-08,18.168867,18.2699,18.101513,18.196932,17.24765,4484691,DELL
2017-02-09,18.208158,18.460737,18.132383,18.241835,17.29021,3731423,DELL
2017-02-10,18.295156,18.373737,18.137997,18.166061,17.21839,3691158,DELL
2017-02-13,18.202545,18.415834,18.180094,18.194126,17.24499,4565221,DELL
2017-02-14,18.171675,18.323221,18.121159,18.19974,17.250313,3974436,DELL
2017-02-15,18.180094,18.328835,18.152029,18.275513,17.322132,2360289,DELL
