Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2000-01-03,6.6,7.4,6.5,6.8,5.639937,1546980,DSY.PA
2000-01-04,6.69,6.75,6.13,6.13,5.0842366,2441040,DSY.PA
2000-01-05,6.0,6.0,5.58,5.655,4.69027,2428580,DSY.PA
2000-01-06,5.66,5.79,5.66,5.725,4.7483287,2379390,DSY.PA
2000-01-07,5.7,6.0,5.68,6.0,4.976415,2063800,DSY.PA
2000-01-10,6.25,6.35,6.1,6.1,5.059355,2635510,DSY.PA
2000-01-11,6.05,6.13,5.75,5.99,4.96812,2634870,DSY.PA
2000-01-12,5.845,5.92,5.68,5.76,4.7773585,1917220,DSY.PA
2000-01-13,5.715,6.05,5.715,5.99,4.96812,2752980,DSY.PA
2000-01-14,6.1,6.4,6.015,6.375,5.2874403,4122260,DSY.PA
2000-01-17,6.45,6.48,6.18,6.24,5.175472,2358510,DSY.PA
2000-01-18,6.25,6.29,6.11,6.25,5.183765,1259420,DSY.PA
2000-01-19,6.1,6.285,6.06,6.275,5.2045016,1130810,DSY.PA
2000-01-20,6.25,6.55,6.15,6.55,5.432586,3877400,DSY.PA
2000-01-21,6.5,6.71,6.4,6.69,5.5487027,2589640,DSY.PA
2000-01-24,6.69,6.69,6.12,6.12,5.075943,1424650,DSY.PA
2000-01-25,6.15,6.46,6.0,6.35,5.2667055,1811760,DSY.PA
2000-01-26,6.49,7.1,6.45,7.1,5.888758,2349180,DSY.PA
2000-01-27,7.0,7.5,6.9,7.5,6.2205167,1640620,DSY.PA
2000-01-28,7.01,7.43,7.01,7.31,6.0629315,1248560,DSY.PA
2000-01-31,7.2,7.26,6.87,7.185,5.959257,1123130,DSY.PA
2000-02-01,6.9,7.26,6.47,6.73,5.5818787,1655370,DSY.PA
2000-02-02,6.86,7.18,6.795,7.03,5.830699,2385610,DSY.PA
2000-02-03,7.17,7.515,7.01,7.515,6.232959,2197560,DSY.PA
2000-02-04,7.515,7.98,7.505,7.6,6.3034577,1544110,DSY.PA
