Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-01-25,43.74,44.75,42.02,42.63,42.63,1019800,DOCS
2022-01-26,44.13,45.16,41.75,42.47,42.47,1532200,DOCS
2022-01-27,43.41,43.45,39.92,40.56,40.56,1739200,DOCS
2022-01-28,40.87,43.2,40.08,41.73,41.73,1180800,DOCS
2022-01-31,41.15,45.62,41.15,45.57,45.57,2023600,DOCS
2022-02-01,46.0,49.23,44.57,49.16,49.16,2082000,DOCS
2022-02-02,49.15,49.15,44.73,46.57,46.57,1939300,DOCS
2022-02-03,45.18,46.964,44.84,45.7,45.7,800900,DOCS
2022-02-04,45.89,47.0,44.65,45.75,45.75,1010800,DOCS
2022-02-07,46.96,49.67,46.5,48.53,48.53,1817600,DOCS
2022-02-08,47.11,50.01,47.1,49.81,49.81,3107900,DOCS
2022-02-09,56.287,64.37,55.79,61.78,61.78,13104200,DOCS
2022-02-10,61.07,64.95,59.92,60.32,60.32,5568700,DOCS
2022-02-11,59.72,60.25,55.44,56.36,56.36,3770900,DOCS
2022-02-14,56.0,58.99,54.49,56.73,56.73,1651900,DOCS
2022-02-15,58.01,58.3,53.95,56.94,56.94,2816500,DOCS
2022-02-16,56.47,58.5,55.0,57.44,57.44,2211500,DOCS
2022-02-17,57.32,59.73,56.401,57.38,57.38,1892000,DOCS
2022-02-18,57.41,59.0,56.46,57.0,57.0,1857800,DOCS
2022-02-22,55.25,58.41,54.42,55.99,55.99,1549800,DOCS
2022-02-23,56.25,56.98,55.05,55.46,55.46,1381900,DOCS
2022-02-24,52.85,57.641,52.23,57.42,57.42,2782100,DOCS
2022-02-25,57.0,59.81,55.56,59.07,59.07,1752800,DOCS
2022-02-28,59.0,62.52,58.412,61.35,61.35,2960900,DOCS
2022-03-01,61.11,61.54,57.75,58.12,58.12,1817000,DOCS
2022-03-02,59.27,61.17,56.51,60.67,60.67,1702400,DOCS
2022-03-03,61.62,61.97,56.75,56.77,56.77,1253200,DOCS
2022-03-04,56.51,57.28,48.13,48.5,48.5,4302400,DOCS
2022-03-07,48.88,54.97,46.665,52.29,52.29,4298700,DOCS
2022-03-08,51.02,54.22,48.6,52.22,52.22,3112500,DOCS
2022-03-09,53.0,56.23,52.85,54.57,54.57,1446100,DOCS
2022-03-10,53.46,54.8,49.94,49.95,49.95,2027300,DOCS
2022-03-11,50.6,50.98,46.08,46.41,46.41,2249000,DOCS
2022-03-14,46.45,46.481,40.05,40.85,40.85,4168900,DOCS
2022-03-15,41.82,45.13,41.82,43.23,43.23,2501800,DOCS
2022-03-16,44.4,47.56,44.0,46.61,46.61,4439800,DOCS
2022-03-17,46.37,52.58,45.89,49.87,49.87,3681600,DOCS
2022-03-18,49.2,53.035,49.09,52.37,52.37,5726700,DOCS
2022-03-21,51.23,51.74,47.47,48.0,48.0,2578500,DOCS
2022-03-22,48.59,50.89,48.06,49.7,49.7,1813400,DOCS
2022-03-23,48.24,51.95,48.24,50.47,50.47,1991500,DOCS
2022-03-24,50.63,51.11,48.46,50.07,50.07,1207900,DOCS
2022-03-25,50.18,50.18,48.075,48.32,48.32,709700,DOCS
2022-03-28,48.37,49.99,47.62,49.0,49.0,1106400,DOCS
2022-03-29,49.41,52.97,49.09,52.57,52.57,1411000,DOCS
2022-03-30,52.19,53.59,50.31,51.81,51.81,2132500,DOCS
2022-03-31,52.31,53.24,51.73,52.09,52.09,1125600,DOCS
2022-04-01,52.48,54.69,52.48,52.79,52.79,1437100,DOCS
2022-04-04,52.83,54.39,51.58,54.0,54.0,945600,DOCS
2022-04-05,54.0,54.69,52.54,53.23,53.23,1014400,DOCS
2022-04-06,51.75,52.285,49.9,51.49,51.49,1434400,DOCS
2022-04-07,52.36,52.58,48.72,50.97,50.97,831000,DOCS
2022-04-08,50.01,50.66,48.74,48.81,48.81,1254900,DOCS
2022-04-11,48.11,49.22,46.94,48.83,48.83,1061900,DOCS
2022-04-12,49.48,52.64,48.44,48.73,48.73,1072700,DOCS
2022-04-13,48.84,50.845,47.787,50.48,50.48,1163500,DOCS
2022-04-14,50.1,50.78,49.25,50.31,50.31,764300,DOCS
2022-04-18,49.8,49.95,47.55,47.97,47.97,969300,DOCS
