Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-04-19,126.5,129.0,123.5,127.5,120.769936,4819342,3661.TW
2018-04-20,125.0,134.5,123.5,130.0,123.13798,5676366,3661.TW
2018-04-23,131.0,133.5,127.0,127.5,120.769936,3911376,3661.TW
2018-04-24,128.5,129.0,119.5,123.0,116.50746,4151453,3661.TW
2018-04-25,121.0,124.0,115.0,122.5,116.03387,5406210,3661.TW
2018-04-26,124.0,128.0,122.0,124.5,117.92829,5327259,3661.TW
2018-04-27,128.0,136.5,128.0,136.5,129.29488,12126271,3661.TW
2018-04-30,139.0,140.0,133.0,137.0,129.7685,10966641,3661.TW
2018-05-02,138.0,146.0,137.0,144.5,136.8726,11628300,3661.TW
2018-05-03,148.0,151.0,130.5,130.5,123.61158,16846912,3661.TW
2018-05-04,130.5,134.5,128.0,132.0,125.0324,6587037,3661.TW
2018-05-07,134.5,135.5,130.5,131.5,124.55881,4181390,3661.TW
2018-05-08,132.5,136.0,130.5,133.0,125.97963,3980720,3661.TW
2018-05-09,134.5,137.0,134.0,135.0,127.874054,3265690,3661.TW
2018-05-10,137.0,141.5,134.0,134.0,126.92686,6405550,3661.TW
2018-05-11,135.0,135.5,128.5,130.0,123.13798,4242230,3661.TW
2018-05-14,126.0,135.5,126.0,135.0,127.874054,4207835,3661.TW
2018-05-15,135.0,138.5,131.0,131.0,124.08518,3656120,3661.TW
2018-05-16,134.0,137.5,131.5,132.0,125.0324,3869205,3661.TW
2018-05-17,134.5,139.0,134.0,135.5,128.34766,6048795,3661.TW
2018-05-18,136.5,138.0,130.5,131.5,124.55881,3763122,3661.TW
2018-05-21,133.5,136.0,132.0,136.0,128.82126,2120266,3661.TW
2018-05-22,138.0,140.0,135.0,135.0,127.874054,4353210,3661.TW
2018-05-23,135.0,139.0,133.0,138.0,130.7157,2740061,3661.TW
2018-05-24,139.5,140.5,136.0,137.0,129.7685,2230350,3661.TW
2018-05-25,137.0,142.5,135.5,139.0,131.6629,4958270,3661.TW
2018-05-28,140.5,152.5,139.0,146.0,138.29344,10305995,3661.TW
2018-05-29,146.0,150.5,140.5,141.0,133.55734,6502178,3661.TW
2018-05-30,140.0,141.5,136.0,138.5,131.18929,3040855,3661.TW
