Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-10-24,48.0,49.535,45.985,48.87,48.87,1063600,GTLB
2022-10-25,49.65,52.39,49.575,51.13,51.13,1493600,GTLB
2022-10-26,48.58,51.43,47.58,47.74,47.74,1407900,GTLB
2022-10-27,48.46,51.59,48.06,49.78,49.78,1277500,GTLB
2022-10-28,49.3,49.91,47.36,49.05,49.05,1078900,GTLB
2022-10-31,47.96,49.93,47.56,48.46,48.46,775500,GTLB
2022-11-01,49.83,50.15,46.28,46.74,46.74,838300,GTLB
2022-11-02,46.45,46.45,41.62,41.89,41.89,1709900,GTLB
2022-11-03,41.28,44.4,41.11,41.6,41.6,1210500,GTLB
2022-11-04,38.59,40.38,34.77,36.71,36.71,4287500,GTLB
2022-11-07,36.92,37.09,34.34,35.94,35.94,2606700,GTLB
2022-11-08,35.88,38.14,35.11,36.44,36.44,1275000,GTLB
2022-11-09,36.5,36.63,33.875,34.22,34.22,1541200,GTLB
2022-11-10,37.93,43.17,36.71,42.99,42.99,4112700,GTLB
2022-11-11,43.6,47.385,42.69,45.96,45.96,1799400,GTLB
2022-11-14,45.325,47.2,44.597,45.24,45.24,1295800,GTLB
2022-11-15,47.46,49.72,46.95,47.64,47.64,1408500,GTLB
2022-11-16,47.41,48.24,43.58,43.79,43.79,1875800,GTLB
2022-11-17,41.97,42.457,40.3,41.07,41.07,1436100,GTLB
2022-11-18,42.81,42.988,39.45,40.06,40.06,1239900,GTLB
2022-11-21,39.5,39.5,37.37,38.22,38.22,1567800,GTLB
2022-11-22,38.0,38.05,36.64,37.84,37.84,1088500,GTLB
2022-11-23,38.0,40.31,37.36,39.71,39.71,1647400,GTLB
2022-11-25,39.18,39.84,38.88,39.4,39.4,226400,GTLB
2022-11-28,38.67,40.0,38.63,38.85,38.85,676800,GTLB
2022-11-29,39.61,40.19,37.9,38.39,38.39,1061700,GTLB
2022-11-30,38.09,39.735,36.2,39.55,39.55,2129300,GTLB
2022-12-01,39.31,43.36,39.053,42.94,42.94,2763200,GTLB
2022-12-02,41.24,42.77,40.19,41.27,41.27,1458900,GTLB
2022-12-05,41.22,43.16,37.61,38.33,38.33,5519300,GTLB
2022-12-06,43.855,44.77,40.05,41.95,41.95,11580200,GTLB
2022-12-07,42.71,43.85,41.0,42.78,42.78,3886400,GTLB
2022-12-08,43.0,48.45,41.46,47.43,47.43,4017500,GTLB
2022-12-09,46.51,48.7,46.03,46.37,46.37,1604700,GTLB
2022-12-12,46.5,49.32,46.5,49.24,49.24,1887600,GTLB
2022-12-13,51.69,52.32,48.11,49.29,49.29,4020300,GTLB
2022-12-14,48.68,51.49,48.33,49.7,49.7,2597700,GTLB
2022-12-15,48.05,50.5,47.88,48.83,48.83,1834200,GTLB
2022-12-16,48.43,50.38,47.77,49.77,49.77,3018800,GTLB
2022-12-19,49.12,49.16,44.7,45.18,45.18,2482200,GTLB
2022-12-20,44.43,46.63,43.88,46.46,46.46,1952200,GTLB
2022-12-21,46.46,49.05,46.0,48.13,48.13,1003600,GTLB
2022-12-22,46.66,47.15,44.96,45.87,45.87,1194700,GTLB
2022-12-23,45.58,46.24,43.55,46.13,46.13,957100,GTLB
2022-12-27,45.14,45.34,43.51,43.95,43.95,1651000,GTLB
2022-12-28,43.41,44.0,42.3,43.46,43.46,1157600,GTLB
2022-12-29,44.2,46.44,43.52,45.95,45.95,1355000,GTLB
2022-12-30,44.69,46.8,44.587,45.44,45.44,1108200,GTLB
2023-01-03,46.92,46.92,43.835,43.93,43.93,1352700,GTLB
2023-01-04,44.1,44.495,42.355,42.57,42.57,1502200,GTLB
2023-01-05,41.66,41.66,37.81,38.21,38.21,2685000,GTLB
2023-01-06,38.89,39.46,37.345,38.73,38.73,1620300,GTLB
2023-01-09,39.78,42.215,39.5,40.16,40.16,1575600,GTLB
2023-01-10,39.75,41.16,38.83,41.02,41.02,1654500,GTLB
2023-01-11,41.39,43.64,40.71,43.45,43.45,1605100,GTLB
2023-01-12,43.75,44.6,41.85,44.54,44.54,1480700,GTLB
2023-01-13,43.49,45.38,43.34,44.97,44.97,1301600,GTLB
2023-01-17,44.82,48.0,43.87,46.92,46.92,1746000,GTLB
2023-01-18,47.75,48.7,46.42,46.56,46.56,1373000,GTLB
2023-01-19,45.75,46.46,44.18,44.21,44.21,1256600,GTLB
2023-01-20,44.87,46.485,43.884,46.27,46.27,1357000,GTLB
2023-01-23,47.11,49.15,46.31,48.87,48.87,1445800,GTLB
2023-01-24,48.12,49.39,46.4,47.35,47.35,1074400,GTLB
2023-01-25,45.25,48.26,43.27,47.4,47.4,1273600,GTLB
2023-01-26,49.0,50.39,47.42,49.65,49.65,1684000,GTLB
2023-01-27,49.04,52.9,48.6,51.8,51.8,2368600,GTLB
2023-01-30,50.43,51.03,48.43,48.63,48.63,1384500,GTLB
2023-01-31,49.04,50.76,48.83,49.41,49.41,1237800,GTLB
2023-02-01,49.97,54.71,49.41,54.15,54.15,1980500,GTLB
2023-02-02,55.11,58.7,54.5,58.57,58.57,2967600,GTLB
2023-02-03,54.15,56.0,51.6,52.2,52.2,3775300,GTLB
2023-02-06,50.81,53.0,49.755,50.23,50.23,1427800,GTLB
2023-02-07,50.3,52.6,48.705,52.16,52.16,2297300,GTLB
2023-02-08,52.5,52.6,47.83,49.23,49.23,2966300,GTLB
2023-02-09,46.7,47.64,42.18,42.305,42.305,9357600,GTLB
2023-02-10,41.4,43.7,41.3,41.57,41.57,3115200,GTLB
2023-02-13,42.02,44.49,41.83,43.24,43.24,2518500,GTLB
2023-02-14,42.5,47.37,41.99,47.26,47.26,2653400,GTLB
2023-02-15,47.25,49.53,46.295,49.23,49.23,1873600,GTLB
